VIN,customerID,start_date,service_writer,odometer,labor_cost,repair_desc,completion_date
00AIVKIDO01487633,110,2020-12-13,user33,22387,212.6,reduce fuel consumption; change coolant; ,2020-12-20
00AIVKIDO01487633,110,2021-01-17,user33,139603,106.3,change coolant; repair shiftable automatic transmission; ,2021-02-20
00AIVKIDO01487633,110,2021-04-11,user33,390280,2126,configure audio remote control; change speaker configuration; ,2021-05-22
00AIVKIDO01487633,110,2021-05-26,roland,427720,372.05,improve cylinder configuration; fix external temperature display; ,2021-06-27
00AIVKIDO01487633,110,2021-07-25,user12,552034,159.45,install smoked glass; adjust hybrid performance; ,2021-08-16
00AIVKIDO01487633,110,2021-08-17,roland,562424,1063,change air conditioner refrigerant; ,2021-09-10
01WR7E2ZMCD216522,5,2021-07-03,user29,166449,25.72,reconfigure service reminder light; ,2021-07-13
01WR7E2ZMCD216522,5,2021-07-24,user15,282743,437.24,change wheel cylinders; reduce fuel consumption; ,2021-08-10
01WR7E2ZMCD216522,5,2021-08-13,user33,310771,128.6,replace stabilizer bar; ,2021-08-23
01WR7E2ZMCD216522,5,2021-08-24,user15,314309,102.88,adjust seat belts tension; adjust running boards; ,2021-08-27
01WR7E2ZMCD216522,5,2021-08-28,user33,320114,77.16,adjust retractable mirrors; fix power activated release; ,2021-08-30
01WR7E2ZMCD216522,5,2021-09-13,user15,413197,77.16,remove oversteer; replace liftgate window; ,2021-09-26
06XZOKN8UAY309163,56,2020-03-10,user17,170246,47.08,change coolant; improve cylinder configuration; ,2020-03-16
06XZOKN8UAY309163,56,2020-06-12,user30,1076779,459.05,install curtain airbags; correct abs; ,2020-08-05
06XZOKN8UAY309163,56,2020-08-11,user29,1079230,317.8,change air conditioner refrigerant; replace tail lights; ,2020-09-07
06XZOKN8UAY309163,56,2020-09-22,user33,1251449,200.1,refurbish power steering; adjust regenerative braking; ,2020-11-24
06XZOKN8UAY309163,56,2021-02-28,user33,2230732,47.08,repair direct injection system; change oil filter; ,2021-03-04
06XZOKN8UAY309163,56,2021-03-29,user33,2274008,35.31,replace radiator core & ac condenser; install parking sensors; ,2021-04-17
06XZOKN8UAY309163,56,2021-04-21,user29,2319475,11.77,repair cooled seats; set up satellite radio; ,2021-04-22
06XZOKN8UAY309163,56,2021-07-17,user33,2833460,376.66,repair shiftable automatic transmission; fix broken tow hooks; ,2021-08-22
073HOEWCHAF741925,53,2021-04-08,user30,162717,134.67,set up gyro sensor; adjust hybrid performance; ,2021-04-13
073HOEWCHAF741925,53,2021-04-24,user15,279130,2020,change purge valve; replace stabilizer bar; ,2021-06-17
073HOEWCHAF741925,53,2021-06-19,user17,281726,179.56,remove oversteer; ,2021-06-25
073HOEWCHAF741925,53,2021-07-19,roland,536387,269.33,adjust climate control; repair seatbelt force limiters; ,2021-07-31
07TSE0YYIZF380247,55,2020-11-04,user12,176483,113.14,set up auto-delay headlights; adjust regenerative braking; ,2020-11-08
